Unnamed: 0.1,Unnamed: 0,id,context,question,answer0,answer1,answer2,answer3,label,split,input,output,answer,task,option1,option2,option3,option4,input_length,output_text,output_label,domain_label,question_type,preds,choice,is_correct
284,288,3UOMW19E6FK40TJPCEMIM1UD19P5CM##33FBRBDW6REQAV0L0EZNN50TVCK8CS##A2KYOM2ZGYDJGT##Blog_97667##q1_a1##3OQQD2WO8KKSZHILQ5UBI7UO0PDI3K,"I might go get my tattoo that I ' ve been waiting to get for SO LONG . I might just head home to Scranton to get it , I figured it ca n't be much more than $ 100 since that 's what I paid for my last one and this one is no where near as detailed . So , yes .",Why might I get a tattoo ?,None of the above choices .,It ca n't be much more than $ 100,this one is no where near as detailed .,I might just head home to Scranton .,0,test,"context: i might go get my tattoo that i ' ve been waiting to get for so long . i might just head home to scranton to get it , i figured it ca n't be much more than $ 100 since that 's what i paid for my last one and this one is no where near as detailed . so , yes . question: why might i get a tattoo ? options: a) none of the above choices b) it ca nt be much more than 100 c) this one is no where near as detailed d) i might just head home to scranton",none of the above choices,1,cosmosqa,none of the above choices,it ca nt be much more than 100,this one is no where near as detailed,i might just head home to scranton,133,a) none of the above choices,a,commonsense,cause prediction,d),d,0
285,289,329E6HTMSYGJ5C89Q8FNVN91RQPK3D##3VHP9MDGRQZZPAA88S5TXXHFGB8FCF##A2KYOM2ZGYDJGT##Blog_837691##q1_a1##3YLPJ8OXXARA78QKP5ZVVM992XTX4Q,I was casually seeing someone for two months ! my friends and his friends knew we were together ! but he gave it up ! he used to stay with me when we was out and be very cuddly in the morning !,What 's a possible reason the writer was casually seeing someone for two months ?,Because they enjoyed their company .,Because he gave it up .,Because their friends knew they were together .,Because he used to stay with the writer when he was out .,0,test,context: i was casually seeing someone for two months ! my friends and his friends knew we were together ! but he gave it up ! he used to stay with me when we was out and be very cuddly in the morning ! question: what 's a possible reason the writer was casually seeing someone for two months ? options: a) because they enjoyed their company b) because he gave it up c) because their friends knew they were together d) because he used to stay with the writer when he was out,because they enjoyed their company,1,cosmosqa,because they enjoyed their company,because he gave it up,because their friends knew they were together,because he used to stay with the writer when he was out,118,a) because they enjoyed their company,a,social,cause prediction,c),c,0
286,290,3GONHBMNHVW0M4GYCTBCM3IC3ADMZ4##3YDTZAI2WYEQ924EOH8QXZDOHNU14G##A2CMYWI1J292YJ##Blog_1331808##q1_a1##3JTPR5MTZUQMJRVD4R3GAK7L6FEK5O,[ 12 ] Where was your FIRST sleep over?No idea ... maybe my cousin Amy 's house ? [ 13 ] Who was the FIRST person you talked to today?The cat . [ 15 ] What was the FIRST thing you did this morning?Fed the cat then did a wee .,Where did I talk to the cat ?,In the neighborhood .,In the living room in my house .,In Amy 's bedroom,In the cat 's cage,1,test,context: [ 12 ] where was your first sleep over?no idea ... maybe my cousin amy 's house ? [ 13 ] who was the first person you talked to today?the cat . [ 15 ] what was the first thing you did this morning?fed the cat then did a wee . question: where did i talk to the cat ? options: a) in the neighborhood b) in the living room in my house c) in amy s bedroom d) in the cat s cage,in the living room in my house,2,cosmosqa,in the neighborhood,in the living room in my house,in amy s bedroom,in the cat s cage,104,b) in the living room in my house,b,commonsense,other,b,b,1
287,291,3L55D8AUFAVN8SU23IFF504Y3YKCYS##34MAJL3QP5LMJ5ITBLM9LSSLFN043Z##AXJ1PE87PD0KK##Blog_1586799##q1_a1##388CL5C1RL19JQXQQTGQEHNQ0KCHLZ,Let me just say that my boss is cool . All I did was ask her if I could take the rest of the day off for errands ad she was like ' Sure ! Just make sure you log it in ' I did n't have to find anyone to cover me or anything . Things are going well .,What did I do after I logged in my time ?,I went grocery shopping .,I tried to find someone to cover for me .,I called corporate to complain about my boss .,None of the above choices .,0,test,context: let me just say that my boss is cool . all i did was ask her if i could take the rest of the day off for errands ad she was like ' sure ! just make sure you log it in ' i did n't have to find anyone to cover me or anything . things are going well . question: what did i do after i logged in my time ? options: a) i went grocery shopping b) i tried to find someone to cover for me c) i called corporate to complain about my boss d) none of the above choices,i went grocery shopping,1,cosmosqa,i went grocery shopping,i tried to find someone to cover for me,i called corporate to complain about my boss,none of the above choices,129,a) i went grocery shopping,a,commonsense,effect prediction,b,b,0
288,292,39WSF6KUV2JQBCAETMCCTX6ZAJXOEN##3DEL4X4EL7JEXA3RKHH48XLWJZ3XYE##A394JO4NEPCY3M##Blog_500672##q1_a1##336OE47KI4YUCL49ZW4W2TVF6HOWVG,And I kept thinking that her studies in psychology should be helping her to leave this religious group . With the Christmas season over - Ben and Pam began talking about getting married right away . They did n't let us know the date of their wedding .,What probably happened after this story ?,Ben and Pam got married,None of the above choices .,Ben and pam did not get married,The narrator celebrated christmas,0,test,context: and i kept thinking that her studies in psychology should be helping her to leave this religious group . with the christmas season over - ben and pam began talking about getting married right away . they did n't let us know the date of their wedding . question: what probably happened after this story ? options: a) ben and pam got married b) none of the above choices c) ben and pam did not get married d) the narrator celebrated christmas,ben and pam got married,1,cosmosqa,ben and pam got married,none of the above choices,ben and pam did not get married,the narrator celebrated christmas,100,a) ben and pam got married,a,commonsense,effect prediction,c,c,0
289,293,30Y6N4AHYPUOGJOUPJIWHATJLPYDR0##3QECW5O0KIZ9E5KN45BA8X2XBF3T51##A2LTOS0AZ3B28A##Blog_993122##q1_a2##3E22YV8GG3KRK7YZLJ4A0IT6RFRNPZ,Also we have no Internet here either so I had to email via iPhone and each time I pressed delete it deleted a whole sentence which made me cry . Yesterday at the park two dogs ran into me . Hard .,Why is this person so upset ?,None of the above choices .,The emailed customer service but did n't get an answer .,two dogs ran into them and made them cry .,Two dogs ran into them and made them drop their iphone .,2,test,context: also we have no internet here either so i had to email via iphone and each time i pressed delete it deleted a whole sentence which made me cry . yesterday at the park two dogs ran into me . hard . question: why is this person so upset ? options: a) none of the above choices b) the emailed customer service but did nt get an answer c) two dogs ran into them and made them cry d) two dogs ran into them and made them drop their iphone,two dogs ran into them and made them cry,3,cosmosqa,none of the above choices,the emailed customer service but did nt get an answer,two dogs ran into them and made them cry,two dogs ran into them and made them drop their iphone,107,c) two dogs ran into them and made them cry,c,commonsense,cause prediction,c) two dogs ran into them and made them cry,c,1
290,294,3YD0MU1NC2ZG0T13WVTOMSUDZ3X7A5##3FFJ6VRIL2MKAKIBDN6UDV4XIQM0IF##A2KYOM2ZGYDJGT##Blog_645273##q1_a1##3WUVMVA7ODHEES6GZOX75ABK25AZAJ,CJ went off to have dinner with his parents after that so Bryan and me took cab to Cineleisure for dinner . The cab ride was HORRIBLE . I have n't felt so sick for a long time . And I ca n't even talk properly .,Why did CJ go to have dinner with his parents ?,Because Bryan and the writer were going to Cineleisure .,Because the cab ride was horrible for the writer .,Because Bryan and the writer were going to dinner .,Because they wanted to spend time with each other .,3,test,context: cj went off to have dinner with his parents after that so bryan and me took cab to cineleisure for dinner . the cab ride was horrible . i have n't felt so sick for a long time . and i ca n't even talk properly . question: why did cj go to have dinner with his parents ? options: a) because bryan and the writer were going to cineleisure b) because the cab ride was horrible for the writer c) because bryan and the writer were going to dinner d) because they wanted to spend time with each other,because they wanted to spend time with each other,4,cosmosqa,because bryan and the writer were going to cineleisure,because the cab ride was horrible for the writer,because bryan and the writer were going to dinner,because they wanted to spend time with each other,131,d) because they wanted to spend time with each other,d,social,cause prediction,d),d,1
291,295,3JU8CV4BRLAU83Z420SNN953O51OP4##3DR23U6WE6C9AODGF64DCR8ALV8ET0##A1S1K7134S2VUC##Blog_253436##q1_a1##3PKJ68EHDPA3O09QN84DY2AYWWQJHK,Maria and I had a bad accident coming home last night . I have bruises and scrapes . Maria potentially has a fracture in her tailbone . We are both lucky to be alive at all .,Why does Maria have to go to the doctor ?,To check that she is still alive .,"Coming home , she felt like visiting the doctor .",None of the above choices .,She was lucky to come home last night .,2,test,context: maria and i had a bad accident coming home last night . i have bruises and scrapes . maria potentially has a fracture in her tailbone . we are both lucky to be alive at all . question: why does maria have to go to the doctor ? options: a) to check that she is still alive b) coming home she felt like visiting the doctor c) none of the above choices d) she was lucky to come home last night,none of the above choices,3,cosmosqa,to check that she is still alive,coming home she felt like visiting the doctor,none of the above choices,she was lucky to come home last night,99,c) none of the above choices,c,commonsense,cause prediction,b) b) c) c,b,0
292,296,3B0MCRZMBRSCT3B5H052C9ATYOPPP6##3WR9XG3T6494KOJGDXPZY941MGL47N##AJ7NSZOAFP05U##Blog_242064##q1_a1##3ZVPAMTJWPH6MSXSB7V4FTKORLPRGJ,"When dad got layed off from Boeing in the ' 70 's , he made toy hydro boats and planters for an income . We used to paint our hydros and tie them on to the back of our bikes . My oldest brother used to have us down to watch the races at his house .",What may happen after your dad gets layed off from Boeing ?,He would turn to his creative side to make money .,He would try to get his job back at Boeing .,He would make bikes for income .,He would turn to his boat races to make money .,0,test,"context: when dad got layed off from boeing in the ' 70 's , he made toy hydro boats and planters for an income . we used to paint our hydros and tie them on to the back of our bikes . my oldest brother used to have us down to watch the races at his house . question: what may happen after your dad gets layed off from boeing ? options: a) he would turn to his creative side to make money b) he would try to get his job back at boeing c) he would make bikes for income d) he would turn to his boat races to make money",he would turn to his creative side to make money,1,cosmosqa,he would turn to his creative side to make money,he would try to get his job back at boeing,he would make bikes for income,he would turn to his boat races to make money,132,a) he would turn to his creative side to make money,a,commonsense,effect prediction,a),a,1
293,297,3P4C70TRMRFGP538MPM81JNHSU7GLF##3QAPZX2QN5BGZZ49OKL2QFXGUDG200##A8E99XNOTT390##Blog_495161##q2_a1##31J7RYECZN4YFFCCO4D5MU7JJ6DL1N,"We laughed , we got serious , we joked , we drank mountain dew and listened to an older - man duo with guitars at a coffee shop . ( We left because their loudness was invading our conversation . ) It was simply a great great day .",Where did you go after leaving the coffee shop ?,To the guitar shop .,Back to the office .,To a different coffee shop .,Back to the mountain .,2,test,"context: we laughed , we got serious , we joked , we drank mountain dew and listened to an older - man duo with guitars at a coffee shop . ( we left because their loudness was invading our conversation . ) it was simply a great great day . question: where did you go after leaving the coffee shop ? options: a) to the guitar shop b) back to the office c) to a different coffee shop d) back to the mountain",to a different coffee shop,3,cosmosqa,to the guitar shop,back to the office,to a different coffee shop,back to the mountain,107,c) to a different coffee shop,c,commonsense,other,c,c,1
294,298,3A520CCNWPEG3XFK31JUK0A2EWMAE3##3NG53N1RLYY94K9P5JLT75Z0TQ2P8F##A394JO4NEPCY3M##Blog_1004270##q1_a1##31N9JPQXIRWZ7Q0B26W5R9RF5S5HNK,"And it 's good to see Mr. Gus , who has affectionately head - bonked me in the shins repeatedly since we got back . Rediscovering my other clothes was swell . Discovering the penicillin growing in the coffeemaker I forgot to clean out before we left was pretty awesome as well .",What might be different if the narrator cleaned out the coffeemaker ?,They would n't see Mr. Gus,It would not be growing penicillin,They would n't rediscover their clothes,None of the above choices .,1,test,"context: and it 's good to see mr. gus , who has affectionately head - bonked me in the shins repeatedly since we got back . rediscovering my other clothes was swell . discovering the penicillin growing in the coffeemaker i forgot to clean out before we left was pretty awesome as well . question: what might be different if the narrator cleaned out the coffeemaker ? options: a) they would nt see mr gus b) it would not be growing penicillin c) they would nt rediscover their clothes d) none of the above choices",it would not be growing penicillin,2,cosmosqa,they would nt see mr gus,it would not be growing penicillin,they would nt rediscover their clothes,none of the above choices,137,b) it would not be growing penicillin,b,commonsense,effect prediction,b,b,1
295,299,3TX9T2ZCB9ZWRGACGVHZV1K31OMZWR##33TIN5LC058OWELTH1BQSUZECPX9YE##A1S1K7134S2VUC##Blog_1459889##q1_a1##33K3E8REWY9BQ9DM18P8CYPE4L6X8I,"After Episode 10 , I lost all the previous reluctance to take it slow . I wanted to watch the next one as soon as I can . At the very very end of Episode 10 , there was a final glimpse of the preview .",Has the preview of the next episode peaked the interest of the person ?,"After episode 10 , the person has great reluctance to watch episode 11 .",None of the above choices .,"The person would like to watch the next episode , but there is no hurry .","The person has gained in interest through 10 episodes , with the preview they are very interested .",3,test,"context: after episode 10 , i lost all the previous reluctance to take it slow . i wanted to watch the next one as soon as i can . at the very very end of episode 10 , there was a final glimpse of the preview . question: has the preview of the next episode peaked the interest of the person ? options: a) after episode 10 the person has great reluctance to watch episode 11 b) none of the above choices c) the person would like to watch the next episode but there is no hurry d) the person has gained in interest through 10 episodes with the preview they are very interested",the person has gained in interest through 10 episodes with the preview they are very interested,4,cosmosqa,after episode 10 the person has great reluctance to watch episode 11,none of the above choices,the person would like to watch the next episode but there is no hurry,the person has gained in interest through 10 episodes with the preview they are very interested,136,d) the person has gained in interest through 10 episodes with the preview they are very interested,d,commonsense,effect prediction,d,d,1
296,300,378G7J1SJNCDAAIN46FM2P7T6I6EW5##32Z9ZLUT1OZKCVYHTN2KVIN9NELOHM##A394JO4NEPCY3M##Blog_45864##q1_a1##3VDI8GSXAH704NIWCYP4OCPJ1YC8G9,"As a coworker likes to say , "" Did I take a foolish pill ? "" Today I spent hours searching the house for my keys , only to find them in my purse in a pocket that I am POSITIVE I already checked ! * shakes head at self * This and the last post really make me wonder .",What is probably true about the narrator ?,They do not feel forgetful right now,They feel foolish right now,They knew exactly where their keys were,They do not feel foolish right now,1,test,"context: as a coworker likes to say , "" did i take a foolish pill ? "" today i spent hours searching the house for my keys , only to find them in my purse in a pocket that i am positive i already checked ! * shakes head at self * this and the last post really make me wonder . question: what is probably true about the narrator ? options: a) they do not feel forgetful right now b) they feel foolish right now c) they knew exactly where their keys were d) they do not feel foolish right now",they feel foolish right now,2,cosmosqa,they do not feel forgetful right now,they feel foolish right now,they knew exactly where their keys were,they do not feel foolish right now,125,b) they feel foolish right now,b,commonsense,effect prediction,a) they do not feel forgetful right now b),a,0
297,301,33NKDW9FFXGY8N4SYMTDMMXP1VAXCX##34MAJL3QP5LMJ5ITBLM9LSSLFZX34J##A2LTOS0AZ3B28A##Blog_1068632##q2_a1##3YLTXLH3DHKZABCOIL9XVYWA5XCPHA,"I took her to her doctor that knows her . He did his exam , and Leah was crying , she had said to me , "" Mommy , why wo n't they go away ? I ' m tired of feeling bad and having them "" . My heart broken , but having to be strong , I said , "" I know honey , me too "" .",Why was mom heart broken ?,She thought she should be able to help the doctor .,The mom could n't do anything for Leah .,None of the above choices .,She was glad that Leah was sick .,1,test,"context: i took her to her doctor that knows her . he did his exam , and leah was crying , she had said to me , "" mommy , why wo n't they go away ? i ' m tired of feeling bad and having them "" . my heart broken , but having to be strong , i said , "" i know honey , me too "" . question: why was mom heart broken ? options: a) she thought she should be able to help the doctor b) the mom could nt do anything for leah c) none of the above choices d) she was glad that leah was sick",the mom could nt do anything for leah,2,cosmosqa,she thought she should be able to help the doctor,the mom could nt do anything for leah,none of the above choices,she was glad that leah was sick,143,b) the mom could nt do anything for leah,b,social,cause prediction,b,b,1
298,302,30UZJB2POHA1T4OZZNZH102B2E5535##3QRYMNZ7FZFD4UQT857W2E2J0Y3TNL##AO33H4GL9KZX9##Blog_1017077##q1_a1##3JVP4ZJHDR6WIPJO7ICSG9WHX0Z0IN,it was just so amazing .. gives you butterflys ! hehebut i just thought i 'd share my excitment . hope everyones doing GREAT ! what does everyone think about the name ?,Why might I want to share my excitement ?,Because sharing an excitement nullifies our experiences .,Because sharing an excitement does nothing for us .,None of the above choices .,Because sharing an excitement diminishes our experiences .,2,test,context: it was just so amazing .. gives you butterflys ! hehebut i just thought i 'd share my excitment . hope everyones doing great ! what does everyone think about the name ? question: why might i want to share my excitement ? options: a) because sharing an excitement nullifies our experiences b) because sharing an excitement does nothing for us c) none of the above choices d) because sharing an excitement diminishes our experiences,none of the above choices,3,cosmosqa,because sharing an excitement nullifies our experiences,because sharing an excitement does nothing for us,none of the above choices,because sharing an excitement diminishes our experiences,104,c) none of the above choices,c,social,cause prediction,c),c,1
299,303,31GN6YMHLPQZQ4OYL3NRZ8N0E7MSWB##3AZHRG4CU5I5KH0SSKZ79P2808F036##AXJ1PE87PD0KK##Blog_1264909##q1_a1##37SDSEDINBG308STUF41HPLDZ4N81T,Vicky did what she had to closing down the desk and stuff before starting to go up the stairs . People were coming in the front door and Vicky was letting them up so they could get around and over to the basement stairs . I was standing there looking out the window to see what was going on . Theresa was nervous and kept asking me what it was .,Why was I looking out the window ?,I was trying to see over to the basement stairs .,I was trying to see past the desk to see Theresa .,None of the above choices .,I was trying to see what everyone was panicking about .,3,test,context: vicky did what she had to closing down the desk and stuff before starting to go up the stairs . people were coming in the front door and vicky was letting them up so they could get around and over to the basement stairs . i was standing there looking out the window to see what was going on . theresa was nervous and kept asking me what it was . question: why was i looking out the window ? options: a) i was trying to see over to the basement stairs b) i was trying to see past the desk to see theresa c) none of the above choices d) i was trying to see what everyone was panicking about,i was trying to see what everyone was panicking about,4,cosmosqa,i was trying to see over to the basement stairs,i was trying to see past the desk to see theresa,none of the above choices,i was trying to see what everyone was panicking about,141,d) i was trying to see what everyone was panicking about,d,commonsense,cause prediction,d,d,1
300,304,3RKHNXPHGWUOAHMLLUZOQYBTCONUK4##3X4JMASXCN7ANC457DEDR80KNQTB0O##A2CMYWI1J292YJ##Blog_1049031##q1_a1##36FFXPMSTB2HPB0N3LWI6YRKVTIHOP,"I sat in the corner and watched the night unfold . He dedicated "" Roll to Me "" to me , as it 's now Our Song . A woman asked , "" You two married ? """,Why did a woman ask if we are married ?,She is looking for a potential groom .,None of the above choices .,We sat in the corner together .,We looked intimate .,3,test,"context: i sat in the corner and watched the night unfold . he dedicated "" roll to me "" to me , as it 's now our song . a woman asked , "" you two married ? "" question: why did a woman ask if we are married ? options: a) she is looking for a potential groom b) none of the above choices c) we sat in the corner together d) we looked intimate",we looked intimate,4,cosmosqa,she is looking for a potential groom,none of the above choices,we sat in the corner together,we looked intimate,93,d) we looked intimate,d,social,cause prediction,d),d,1
301,305,31KPKEKW4AB71S6BHA8B2O4W95N0B0##36AHBNMV1SA0Z4YATHGSEQI42TWYD5##AO33H4GL9KZX9##Blog_1005428##q1_a1##3N2YPY1GI8C0VLIIEWAQGNOFZ8QVEW,But did on the sidewalk in front of my house . Classy ! Today I come in expecting to receive a written warning for unprofessional behavior as EVERYONE knew I had the Irish flu . Instead I ' m greated to the above illustration on the hallway white board and my boss laughing his head off at me .,What kind of rules might my work place have ?,My work place might have a rule against coming into work with a laughter .,My work place might have a rule against coming into work under an illustration .,None of the above choices .,My work place might have a rule against coming into work with a hangover .,3,test,context: but did on the sidewalk in front of my house . classy ! today i come in expecting to receive a written warning for unprofessional behavior as everyone knew i had the irish flu . instead i ' m greated to the above illustration on the hallway white board and my boss laughing his head off at me . question: what kind of rules might my work place have ? options: a) my work place might have a rule against coming into work with a laughter b) my work place might have a rule against coming into work under an illustration c) none of the above choices d) my work place might have a rule against coming into work with a hangover,my work place might have a rule against coming into work with a hangover,4,cosmosqa,my work place might have a rule against coming into work with a laughter,my work place might have a rule against coming into work under an illustration,none of the above choices,my work place might have a rule against coming into work with a hangover,148,d) my work place might have a rule against coming into work with a hangover,d,social,effect prediction,b),b,0
302,306,3R868ACW4SA0UUKC1QDH9YYF7O1ZG9##3VE8AYVF8NVIIILO7JDO3DXNKJA8FW##A1OPGPTQJ48XOY##Blog_747293##q1_a1##31ANT7FQNAGVH1U5Y60JXSRTEYA5H5,"Not good . The place stank , not just of the usual stale bar and fart smell , but serious acrid stuff , very unpleasant . bumped into ex - Chez Pinapple party acolytes and said hello .",What did you do after you were at the bar ?,I left as soon as I could because it smelled so awful and was just an unpleasant environment,I asked the bar owner if they could fix the smell in the bar and they used some air freshener,I ordered some more drinks and eventually ordered food at the bar,None of the above choices .,0,test,"context: not good . the place stank , not just of the usual stale bar and fart smell , but serious acrid stuff , very unpleasant . bumped into ex - chez pinapple party acolytes and said hello . question: what did you do after you were at the bar ? options: a) i left as soon as i could because it smelled so awful and was just an unpleasant environment b) i asked the bar owner if they could fix the smell in the bar and they used some air freshener c) i ordered some more drinks and eventually ordered food at the bar d) none of the above choices",i left as soon as i could because it smelled so awful and was just an unpleasant environment,1,cosmosqa,i left as soon as i could because it smelled so awful and was just an unpleasant environment,i asked the bar owner if they could fix the smell in the bar and they used some air freshener,i ordered some more drinks and eventually ordered food at the bar,none of the above choices,145,a) i left as soon as i could because it smelled so awful and was just an unpleasant environment,a,commonsense,effect prediction,c,c,0
303,307,32TZXEA1ONY2H75RICEO0D58X70142##32SVAV9L3IOGGJXH4J80QT2UERLA3L##A2KYOM2ZGYDJGT##Blog_517717##q1_a1##3MJ9GGZYO5KO8H34AHOTIZ1DH13A2O,"Has long wand and tools . Nothing wrong with it - works great . I just bought a Dyson and like it better . This vaccuum cost me nearly $ 200 under a year ago , and the vaccuum bags were about $ 50 since there are so many and they filter allergens so they are good for allergy sufferers .",Why did the writer buy a Dyson ?,Because it has a long wand and tools .,Because they thought it would be a good product for them .,Because there 's nothing wrong with it .,Because it cost nearly $ 200 .,1,test,"context: has long wand and tools . nothing wrong with it - works great . i just bought a dyson and like it better . this vaccuum cost me nearly $ 200 under a year ago , and the vaccuum bags were about $ 50 since there are so many and they filter allergens so they are good for allergy sufferers . question: why did the writer buy a dyson ? options: a) because it has a long wand and tools b) because they thought it would be a good product for them c) because there s nothing wrong with it d) because it cost nearly 200",because they thought it would be a good product for them,2,cosmosqa,because it has a long wand and tools,because they thought it would be a good product for them,because there s nothing wrong with it,because it cost nearly 200,137,b) because they thought it would be a good product for them,b,commonsense,cause prediction,b),b,1
304,308,3I6NF2WGIGU2NG0NU261KURK6ZP5GO##3OE22WJIGJMD74IAO2PNB4JQQPLQUQ##A2MHM7JK1T9XHR##Blog_1195012##q2_a1##35YHTYFL1IHS1ZIE97UWY59FBC7VFM,"They are all very attractive and SO nice ! And guys are so much easier to hang out with when you do n't really know them . I mean , I love girls when I am good friends with them but all the judging and sizeing up that goes on while getting to know them is so obnoxious . Guys are so chill .",Why did I hang out with those guys ?,Because they were attractive and nice,Because they were good friends with girls I know,None of the above choices .,Because other guys size you and judge you,0,test,"context: they are all very attractive and so nice ! and guys are so much easier to hang out with when you do n't really know them . i mean , i love girls when i am good friends with them but all the judging and sizeing up that goes on while getting to know them is so obnoxious . guys are so chill . question: why did i hang out with those guys ? options: a) because they were attractive and nice b) because they were good friends with girls i know c) none of the above choices d) because other guys size you and judge you",because they were attractive and nice,1,cosmosqa,because they were attractive and nice,because they were good friends with girls i know,none of the above choices,because other guys size you and judge you,129,a) because they were attractive and nice,a,social,cause prediction,d),d,0
305,309,363A7XIFV4KIBJ2ZETW4S6AGLSDVA8##3ZQIG0FLQFEI4G3W51YYZF3VSX0WVE##A2LTOS0AZ3B28A##Blog_1147490##q2_a1##3S8APUMBJZXDSLK84Q3WXTF88KRFB0,"I 'll start with the baby stuff . Chris and I went to class again and this time saw the "" birth "" video , which was n't as gross as I thought it 'd be . We also learned some new "" labor moves "" and breathing techniques . And again , our teacher provided some audible suggestions of what labor might sound like .","Now that they have seen the birth video , what do they espect ?",That they will have to practice the breathing techniques .,That the teacher will be there to help them with birth .,That they will be prepared for all the baby stuff .,None of the above choices .,2,test,"context: i 'll start with the baby stuff . chris and i went to class again and this time saw the "" birth "" video , which was n't as gross as i thought it 'd be . we also learned some new "" labor moves "" and breathing techniques . and again , our teacher provided some audible suggestions of what labor might sound like . question: now that they have seen the birth video , what do they espect ? options: a) that they will have to practice the breathing techniques b) that the teacher will be there to help them with birth c) that they will be prepared for all the baby stuff d) none of the above choices",that they will be prepared for all the baby stuff,3,cosmosqa,that they will have to practice the breathing techniques,that the teacher will be there to help them with birth,that they will be prepared for all the baby stuff,none of the above choices,143,c) that they will be prepared for all the baby stuff,c,commonsense,effect prediction,c,c,1
306,310,341H3G5YF2SIDF8Y7M0EG4Z7TCK0Z1##3WMOAN2SREC7CBTPXXJBVUED4NVVNF##A2KYOM2ZGYDJGT##Blog_1225562##q1_a1##32LAQ1JNTB327PBFZ1PGJNMXOHCUTG,"The 1st year is a lot of trial and error and there 's no big mystery about teaching that is learned at a teacher 's college . Besides ... YOU have the teacher 's manual ! We are so blessed and there is so much to choose from ... too much , at times .",What 's a possible reason the 1st year is a lot about trial and error ?,None of the above choices .,Because new teachers will learn mostly from experience .,Because teachers have the teacher 's manual .,Because teaching is learned at teacher 's college .,1,test,"context: the 1st year is a lot of trial and error and there 's no big mystery about teaching that is learned at a teacher 's college . besides ... you have the teacher 's manual ! we are so blessed and there is so much to choose from ... too much , at times . question: what 's a possible reason the 1st year is a lot about trial and error ? options: a) none of the above choices b) because new teachers will learn mostly from experience c) because teachers have the teacher s manual d) because teaching is learned at teacher s college",because new teachers will learn mostly from experience,2,cosmosqa,none of the above choices,because new teachers will learn mostly from experience,because teachers have the teacher s manual,because teaching is learned at teacher s college,138,b) because new teachers will learn mostly from experience,b,commonsense,cause prediction,b),b,1
307,311,3T6EIBTM9LMYJVZ13Y58WJW308HAA7##34YB12FSQZM3H7JNC4TPQGYU5ZYGMI##A1I72NHC21347A##Blog_717374##q1_a2##3OB6JN3A9S36E2TEMATZSY4LN2XMR8,"Woo , internet at the mall . I was afraid I would n't be able to connect to the network -- I get at least three guests a week who can not for the life of them figure out how to connect -- but it was easy . Set up a new network connection , put in the network 's name , set the security to No Encryption ( Open ) , and voila !",What may happen if there is no internet at the mall ?,I would comment to the free web,No network would be available to connect,I would connect to the network,I would set up an network connection,1,test,"context: woo , internet at the mall . i was afraid i would n't be able to connect to the network -- i get at least three guests a week who can not for the life of them figure out how to connect -- but it was easy . set up a new network connection , put in the network 's name , set the security to no encryption ( open ) , and voila ! question: what may happen if there is no internet at the mall ? options: a) i would comment to the free web b) no network would be available to connect c) i would connect to the network d) i would set up an network connection",no network would be available to connect,2,cosmosqa,i would comment to the free web,no network would be available to connect,i would connect to the network,i would set up an network connection,145,b) no network would be available to connect,b,commonsense,effect prediction,b) no network would be available to connect,b,1
308,312,3B286OTISGVOED1CH2ULHGNUJ24JAF##3C6FJU71TT81BV83Z9IHGOA1U75UY8##A1OPGPTQJ48XOY##Blog_1542992##q1_a1##3R5LWXWHR2MQJOJ4K61W4B6CS5QGXQ,"So , um , our building just caught on fire . Everyone is okay , but we had to evacuate b / c someone dropped something flaming ( not like your dad ) down the garbage chute . WTG .",What would happen if your building was severely damaged ?,We would have to put up a tent near our home until we could find somewhere else to live,We would have to sleep out of our car until we found a new home,We would not have anywhere to stay and would be homeless,The insurance would fix the damage and would put us up in hotels,3,test,"context: so , um , our building just caught on fire . everyone is okay , but we had to evacuate b / c someone dropped something flaming ( not like your dad ) down the garbage chute . wtg . question: what would happen if your building was severely damaged ? options: a) we would have to put up a tent near our home until we could find somewhere else to live b) we would have to sleep out of our car until we found a new home c) we would not have anywhere to stay and would be homeless d) the insurance would fix the damage and would put us up in hotels",the insurance would fix the damage and would put us up in hotels,4,cosmosqa,we would have to put up a tent near our home until we could find somewhere else to live,we would have to sleep out of our car until we found a new home,we would not have anywhere to stay and would be homeless,the insurance would fix the damage and would put us up in hotels,133,d) the insurance would fix the damage and would put us up in hotels,d,commonsense,effect prediction,c) we would not have anywhere to stay and would be homeless,c,0
