,task,domain_label,question_type,input,input,output_text,know_pred,know_pred_is_correct,baseline_is_correct,baseline_pred
131,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: adam had a busy day storing xml. at 4 pm, he stored 20 gigabytes to the database. at 5 pm, he stored 25 gigabytes to the database. at 6 pm, he stored 30 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 35 gigabytes to the database. at 9 pm, he stored 40 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did storage costs go up:  5 pm or 10 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: adam had a busy day storing xml. at 4 pm, he stored 20 gigabytes to the database. at 5 pm, he stored 25 gigabytes to the database. at 6 pm, he stored 30 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 35 gigabytes to the database. at 9 pm, he stored 40 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did storage costs go up:  5 pm or 10 pm?",5 pm,10 PM,0,0,10 PM
410,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their orange drone the highest into the air. team h got it 2,555 ft. team i got it 3,555 ft. team j go it 4,545 ft. team k got it 5,535 ft. team l got it 10,525 ft. team m got it 13,575 ft. team n got it 14,585 ft.
 question: what team got their drone into high altitude: team j or team n?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their orange drone the highest into the air. team h got it 2,555 ft. team i got it 3,555 ft. team j go it 4,545 ft. team k got it 5,535 ft. team l got it 10,525 ft. team m got it 13,575 ft. team n got it 14,585 ft.
 question: what team got their drone into high altitude: team j or team n?",team n,Team N,1,1,Team N
193,ropes,commonsense, effect comparison,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the bennies battalion met to discuss their experiences. they all said they always had a great experience using bennies and used the same amount each time. they told how many times they used bennies. kathryn used it 26 times, louise used it 30 times, sara used it 34 times, anne used it 46 times, jacqueline used it 59 times, wanda used it 68 times, and bonnie used it 76 times.
 question: who has a higher tolerance for bennies: sara or bonnie?","background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the bennies battalion met to discuss their experiences. they all said they always had a great experience using bennies and used the same amount each time. they told how many times they used bennies. kathryn used it 26 times, louise used it 30 times, sara used it 34 times, anne used it 46 times, jacqueline used it 59 times, wanda used it 68 times, and bonnie used it 76 times.
 question: who has a higher tolerance for bennies: sara or bonnie?",bonnie,Bonnie,1,1,Bonnie
55,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. susan was the oldest. margaret was the 2nd oldest. dorothy was the 3rd oldest. lisa was the 4th oldest. nancy was the 5th oldest. karen was the 6th oldest. the last one was betty, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: dorothy or karen?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. susan was the oldest. margaret was the 2nd oldest. dorothy was the 3rd oldest. lisa was the 4th oldest. nancy was the 5th oldest. karen was the 6th oldest. the last one was betty, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: dorothy or karen?",karen,Dorothy,0,0,Dorothy
148,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow kite the highest into the air. team v got it 3,355 ft. team w got it 4,455 ft. team x go it 5,555 ft. team y got it 6,635 ft. team z got it 11,625 ft. team a got it 14,775 ft. team b got it 15,885 ft.
 question: what team got their kite into high altitude: team v or team a?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow kite the highest into the air. team v got it 3,355 ft. team w got it 4,455 ft. team x go it 5,555 ft. team y got it 6,635 ft. team z got it 11,625 ft. team a got it 14,775 ft. team b got it 15,885 ft.
 question: what team got their kite into high altitude: team v or team a?",team a,Team A,1,1,Team A
18,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: frances or lenny?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: frances or lenny?",lenny,Frances,0,0,Frances
204,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their orange drone the highest into the air. team h got it 2,555 ft. team i got it 3,555 ft. team j go it 4,545 ft. team k got it 5,535 ft. team l got it 10,525 ft. team m got it 13,575 ft. team n got it 14,585 ft.
 question: what team got their drone into high altitude: team i or team m?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their orange drone the highest into the air. team h got it 2,555 ft. team i got it 3,555 ft. team j go it 4,545 ft. team k got it 5,535 ft. team l got it 10,525 ft. team m got it 13,575 ft. team n got it 14,585 ft.
 question: what team got their drone into high altitude: team i or team m?",team m,Team M,1,1,Team M
78,ropes,science, cause prediction,"background: during may, june, and july, the northern hemisphere is exposed to more direct sunlight because the hemisphere faces the sun. the same is true of the southern hemisphere in november, december, and january. it is earth's axial tilt that causes the sun to be higher in the sky during the summer months, which increases the solar flux. however, due to seasonal lag, june, july, and august are the warmest months in the northern hemisphere while december, january, and february are the warmest months in the southern hemisphere.
 situation: bill is planning some trips for his business and his family. his coworkers have informed him that they would like to travel in the summer months of june, july, and august, and prefer the temperature to be at its warmest. bill is also planning to travel with his family and they would prefer to also go when it is the warmest part of the year, but can only travel in december, january, or february.  the options for travel are in the chile which is in the southern hemisphere, and arizona in the northern hemisphere.
 question: where should bill take his coworkers to insure they are there in the warmest parts of the year?","background: during may, june, and july, the northern hemisphere is exposed to more direct sunlight because the hemisphere faces the sun. the same is true of the southern hemisphere in november, december, and january. it is earth's axial tilt that causes the sun to be higher in the sky during the summer months, which increases the solar flux. however, due to seasonal lag, june, july, and august are the warmest months in the northern hemisphere while december, january, and february are the warmest months in the southern hemisphere.
 situation: bill is planning some trips for his business and his family. his coworkers have informed him that they would like to travel in the summer months of june, july, and august, and prefer the temperature to be at its warmest. bill is also planning to travel with his family and they would prefer to also go when it is the warmest part of the year, but can only travel in december, january, or february.  the options for travel are in the chile which is in the southern hemisphere, and arizona in the northern hemisphere.
 question: where should bill take his coworkers to insure they are there in the warmest parts of the year?",arizona,"Bill should take his coworkers to Arizona in the Northern Hemisphere in June, July, or August to experience",1,1,Bill should take his coworkers to Arizona in the Northern Hemisphere to ensure they are there in the warmest
494,ropes,commonsense, effect comparison,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: carl is in charge of a power generation station in alberta. he is tasked with turning on or off certain generators in instances of high or low demand (high demand would require more generators to be turned on, and low turned off). there are various occasions that carl has to be vigilant for, such as various times of the day; early morning, dinner time, late night. weather conditions also play a roll, such as; colder weather, hot weather, or moderate weather. he also must be aware of wind conditions, as some of the power is garnered from wind power.
 question: which time of day would carl most likely need to power on more generators, late at night or around dinner time?","background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: carl is in charge of a power generation station in alberta. he is tasked with turning on or off certain generators in instances of high or low demand (high demand would require more generators to be turned on, and low turned off). there are various occasions that carl has to be vigilant for, such as various times of the day; early morning, dinner time, late night. weather conditions also play a roll, such as; colder weather, hot weather, or moderate weather. he also must be aware of wind conditions, as some of the power is garnered from wind power.
 question: which time of day would carl most likely need to power on more generators, late at night or around dinner time?",dinner time,Carl would most likely need to power on more generators around dinner time.,1,1,Around dinner time.
262,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: brett had a busy day storing xml. at 3 pm, he stored 100 gigabytes to the database. at 4 pm, he stored 200 gigabytes to the database. at 5 pm, he stored 300 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 400 gigabytes to the database. at 8 pm, he stored 500 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 9 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: brett had a busy day storing xml. at 3 pm, he stored 100 gigabytes to the database. at 4 pm, he stored 200 gigabytes to the database. at 5 pm, he stored 300 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 400 gigabytes to the database. at 8 pm, he stored 500 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 9 pm?",7 pm,7 PM,1,1,7 PM
323,ropes,commonsense, effect comparison,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 5 last week. on sunday, there were 2000 motorcyclists. on monday, there were 3000 motorcyclists. on tuesday, there were 4000 motorcyclists. on wednesday, there were 5000 motorcyclists. on thursday, there were 6000 motorcyclists. on friday, there were 7000 motorcyclists. on saturday, there were 8000 motorcyclists.
 question: what day had a lower crash rate per cyclist: sunday or saturday?","background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 5 last week. on sunday, there were 2000 motorcyclists. on monday, there were 3000 motorcyclists. on tuesday, there were 4000 motorcyclists. on wednesday, there were 5000 motorcyclists. on thursday, there were 6000 motorcyclists. on friday, there were 7000 motorcyclists. on saturday, there were 8000 motorcyclists.
 question: what day had a lower crash rate per cyclist: sunday or saturday?",saturday,Saturday.,1,1,Saturday
483,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their red kite the highest into the air. team o got it 3,555 ft. team p got it 4,555 ft. team q go it 5,545 ft. team r got it 6,535 ft. team s got it 11,525 ft. team t got it 14,575 ft. team u got it 15,585 ft.
 question: what team got their kite into high altitude: team p or team t?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their red kite the highest into the air. team o got it 3,555 ft. team p got it 4,555 ft. team q go it 5,545 ft. team r got it 6,535 ft. team s got it 11,525 ft. team t got it 14,575 ft. team u got it 15,585 ft.
 question: what team got their kite into high altitude: team p or team t?",team t,Team T,1,1,Team T
79,ropes,science, effect comparison,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: greg works at a power facility in alberta. he has been charged with regulating generators. his task is to turn on generators in times of high power demand, and to turn off generators at times of low power demand. he tries to remain as efficient as possible. recently, the area has experienced record cold temperatures on monday and tuesday. by the weekend however, the temperature returned to normal, and friday and saturday the temperature was very moderate and spring like.
 question: would greg have turned on more or less generators on saturday than tuesday?","background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: greg works at a power facility in alberta. he has been charged with regulating generators. his task is to turn on generators in times of high power demand, and to turn off generators at times of low power demand. he tries to remain as efficient as possible. recently, the area has experienced record cold temperatures on monday and tuesday. by the weekend however, the temperature returned to normal, and friday and saturday the temperature was very moderate and spring like.
 question: would greg have turned on more or less generators on saturday than tuesday?",less,more,0,0,More generators on Saturday.
39,ropes,science, effect comparison,"background: for example, your body has an internal thermostat. during a winter day, in your house a thermostat senses the temperature in a room and responds by turning on or off the heater. your body acts in much the same way. when body temperature rises, receptors in the skin and the brain sense the temperature change. the temperature change triggers a command from the brain. this command can cause several responses. if you are too hot, the skin makes sweat and blood vessels near the skin surface dilate. this response helps decrease body temperature.
 situation: recently, a man name bob broke his leg, and has been commanded to stay inside and rest while it heals. his wife, gretchen, has had to do most of the yard work, and it has been very hot outside. bob has been watching his wife cut the grass and feels bad, noticing she looks tired, while he gets to sit inside in the air conditioning.
 question: is gretchen more or less likely to be having her body respond to her current temperature than bob?","background: for example, your body has an internal thermostat. during a winter day, in your house a thermostat senses the temperature in a room and responds by turning on or off the heater. your body acts in much the same way. when body temperature rises, receptors in the skin and the brain sense the temperature change. the temperature change triggers a command from the brain. this command can cause several responses. if you are too hot, the skin makes sweat and blood vessels near the skin surface dilate. this response helps decrease body temperature.
 situation: recently, a man name bob broke his leg, and has been commanded to stay inside and rest while it heals. his wife, gretchen, has had to do most of the yard work, and it has been very hot outside. bob has been watching his wife cut the grass and feels bad, noticing she looks tired, while he gets to sit inside in the air conditioning.
 question: is gretchen more or less likely to be having her body respond to her current temperature than bob?",more,more likely,1,1,More likely.
451,ropes,science, effect comparison,"background: one of the most adverse impacts of poor waste management, especially municipal waste, is the incidence and prevalence of diseases such as malaria and respiratory problems, as well as other illnesses through the contamination of ground water. biomedical wastes pose great danger in bangladesh too as a report estimated that 20% of the biomedical waste is ""highly infectious"" and is a hazard since it is often disposed of into the sewage system or drains.[6]  such poor sanitation has serious consequences for the health of the residents and a report suggests that ""most of the child mortality could be related with this problem"".[7]  with regards to the living standards, solid waste leads to blockage in the drainage system which leads to flooding in the streets. consequently, mosquitoes and bad odour are among the negative impacts resulted.[7]
 situation: calgary has just installed a new waste management system in the city, and has been writing new laws about how biomedical research should be properly disposed of. detroit on the other hand, just passed a law that allows dumping of medical waste in the sewage system, and has cut funding to it's waste management system.
 question: which city probably has a higher chance of contaminated ground water?","background: one of the most adverse impacts of poor waste management, especially municipal waste, is the incidence and prevalence of diseases such as malaria and respiratory problems, as well as other illnesses through the contamination of ground water. biomedical wastes pose great danger in bangladesh too as a report estimated that 20% of the biomedical waste is ""highly infectious"" and is a hazard since it is often disposed of into the sewage system or drains.[6]  such poor sanitation has serious consequences for the health of the residents and a report suggests that ""most of the child mortality could be related with this problem"".[7]  with regards to the living standards, solid waste leads to blockage in the drainage system which leads to flooding in the streets. consequently, mosquitoes and bad odour are among the negative impacts resulted.[7]
 situation: calgary has just installed a new waste management system in the city, and has been writing new laws about how biomedical research should be properly disposed of. detroit on the other hand, just passed a law that allows dumping of medical waste in the sewage system, and has cut funding to it's waste management system.
 question: which city probably has a higher chance of contaminated ground water?",detroit,Detroit,1,1,Detroit
46,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow kite the highest into the air. team v got it 3,355 ft. team w got it 4,455 ft. team x go it 5,555 ft. team y got it 6,635 ft. team z got it 11,625 ft. team a got it 14,775 ft. team b got it 15,885 ft.
 question: what team got their kite into high altitude: team y or team a?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow kite the highest into the air. team v got it 3,355 ft. team w got it 4,455 ft. team x go it 5,555 ft. team y got it 6,635 ft. team z got it 11,625 ft. team a got it 14,775 ft. team b got it 15,885 ft.
 question: what team got their kite into high altitude: team y or team a?",team a,Team A,1,1,Team A
238,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. justin was the oldest. terry was the 2nd oldest. gerald was the 3rd oldest. keith was the 4th oldest. samuel was the 5th oldest. willie was the 6th oldest. the last one was ralph, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: justin or willie?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. justin was the oldest. terry was the 2nd oldest. gerald was the 3rd oldest. keith was the 4th oldest. samuel was the 5th oldest. willie was the 6th oldest. the last one was ralph, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: justin or willie?",willie,Justin,0,0,Willie.
391,ropes,commonsense, effect comparison,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the goop goonies met to discuss their experiences. they all said they always had a great experience using goop and used the same amount each time. they told how many times they used goop. alec used it 32 times, berry used it 42 times, edgardo used it 52 times, gino used it 62 times, judson used it 72 times, claudio used it 82 times, and faustino used it 92 times.
 question: who has a higher tolerance for goop: edgardo or faustino?","background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the goop goonies met to discuss their experiences. they all said they always had a great experience using goop and used the same amount each time. they told how many times they used goop. alec used it 32 times, berry used it 42 times, edgardo used it 52 times, gino used it 62 times, judson used it 72 times, claudio used it 82 times, and faustino used it 92 times.
 question: who has a higher tolerance for goop: edgardo or faustino?",faustino,Faustino,1,1,Faustino
352,ropes,commonsense, effect comparison,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 12 last week. on thursday, there were 1501 motorcyclists. on friday, there were 2501 motorcyclists. on saturday, there were 3501 motorcyclists. on sunday, there were 4501 motorcyclists. on monday, there were 5501 motorcyclists. on tuesday, there were 6501 motorcyclists. on wednesday, there were 7501 motorcyclists.
 question: what day had a lower crash rate per cyclist: saturday or wednesday?","background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 12 last week. on thursday, there were 1501 motorcyclists. on friday, there were 2501 motorcyclists. on saturday, there were 3501 motorcyclists. on sunday, there were 4501 motorcyclists. on monday, there were 5501 motorcyclists. on tuesday, there were 6501 motorcyclists. on wednesday, there were 7501 motorcyclists.
 question: what day had a lower crash rate per cyclist: saturday or wednesday?",wednesday,Saturday,0,0,Saturday
341,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their 30 lb drone the highest into the air. team 70 got it 3,348 ft. team 71 got it 4,459 ft. team 72 go it 5,560 ft. team 73 got it 6,671 ft. team 74 got it 11,126 ft. team 75 got it 12,237 ft. team 76 got it 13,347 ft.
 question: what team got their drone into high altitude: team 73 or team 74?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their 30 lb drone the highest into the air. team 70 got it 3,348 ft. team 71 got it 4,459 ft. team 72 go it 5,560 ft. team 73 got it 6,671 ft. team 74 got it 11,126 ft. team 75 got it 12,237 ft. team 76 got it 13,347 ft.
 question: what team got their drone into high altitude: team 73 or team 74?",team 74,Team 74,1,1,Team 74
